LRN: 11172710044, Name: sample name1, Birthdate: 06/30/2005, Age: 19, Place of Birth: Legazpi City, Current Address: Purok 2 Maguiron Guinobatan Albay, Permanent Address: Purok 2 Maguiron Guinobatan Albay, Sex: M, Citizenship: Filipino, Religion: Roman Catholic, Height: 160.0, Weight: 57.0, Blood Type: A+, Contact Number: 09770375772, Email: cholocandelaria123@gmail.com, School 1: none, Accomplishments 1: N/A, Date of Attendance 1: N/A - N/A, Year Graduated 1: N/A, School 2: Guinobatan West Central School, Accomplishments 2: none, Date of Attendance 2: 06/01/2011 - 03/15/2017, Year Graduated 2: 2017, Grade Level: 10, Specialization: SPA
LRN: 11172710045, Name: sample name 2, Birthdate: 06/30/2005, Age: 19, Place of Birth: Legazpi City, Current Address: Purok 2 Maguiron Guinobatan Albay, Permanent Address: Purok 2 Maguiron Guinobatan Albay, Sex: M, Citizenship: Filipino, Religion: Roman Catholic, Height: 160.0, Weight: 57.0, Blood Type: A+, Contact Number: 09770375772, Email: cholocandelaria123@gmail.com, School 1: none, Accomplishments 1: N/A, Date of Attendance 1: N/A - N/A, Year Graduated 1: N/A, School 2: Guinobatan West Central School, Accomplishments 2: none, Date of Attendance 2: 06/01/2011 - 03/15/2017, Year Graduated 2: 2017, Grade Level: 10, Specialization: SPA
LRN: 11172710046, Name: sample name 3, Birthdate: 06/30/2005, Age: 19, Place of Birth: Legazpi City, Current Address: Purok 2 Maguiron Guinobatan Albay, Permanent Address: Purok 2 Maguiron Guinobatan Albay, Sex: M, Citizenship: Filipino, Religion: Roman Catholic, Height: 160.0, Weight: 57.0, Blood Type: A+, Contact Number: 09770375772, Email: cholocandelaria123@gmail.com, School 1: none, Accomplishments 1: N/A, Date of Attendance 1: N/A - N/A, Year Graduated 1: N/A, School 2: Guinobatan West Central School, Accomplishments 2: none, Date of Attendance 2: 06/01/2011 - 03/15/2017, Year Graduated 2: 2017, Grade Level: 10, Specialization: SPA
LRN: 11172710047, Name: oiwhfowifhwoifhweoiwhfeowihe, Birthdate: 06/30/2005, Age: 19, Place of Birth: Legazpi City, Current Address: Purok 2 Maguiron Guinobatan Albay, Permanent Address: Purok 2 Maguiron Guinobatan Albay, Sex: M, Citizenship: Filipino, Religion: Roman Catholic, Height: 160.0, Weight: 57.0, Blood Type: A+, Contact Number: 09770375772, Email: cholocandelaria123@gmail.com, School 1: none, Accomplishments 1: N/A, Date of Attendance 1: N/A - N/A, Year Graduated 1: N/A, School 2: Guinobatan West Central School, Accomplishments 2: none, Date of Attendance 2: 06/01/2011 - 03/15/2017, Year Graduated 2: 2017, Grade Level: 10, Specialization: SPA
LRN: 11172710048, Name: oiwhfowifhwoifhweoiwhfeowihe, Birthdate: 06/30/2005, Age: 19, Place of Birth: Legazpi City, Current Address: Purok 2 Maguiron Guinobatan Albay, Permanent Address: Purok 2 Maguiron Guinobatan Albay, Sex: M, Citizenship: Filipino, Religion: Roman Catholic, Height: 160.0, Weight: 57.0, Blood Type: A+, Contact Number: 09770375772, Email: cholocandelaria123@gmail.com, School 1: none, Accomplishments 1: N/A, Date of Attendance 1: N/A - N/A, Year Graduated 1: N/A, School 2: Guinobatan West Central School, Accomplishments 2: none, Date of Attendance 2: 06/01/2011 - 03/15/2017, Year Graduated 2: 2017, Grade Level: 10, Specialization: SPA
LRN: 11172710049, Name: oiwhfowifhwoifhweoiwhfeowihe, Birthdate: 06/30/2005, Age: 19, Place of Birth: Legazpi City, Current Address: Purok 2 Maguiron Guinobatan Albay, Permanent Address: Purok 2 Maguiron Guinobatan Albay, Sex: M, Citizenship: Filipino, Religion: Roman Catholic, Height: 160.0, Weight: 57.0, Blood Type: A+, Contact Number: 09770375772, Email: cholocandelaria123@gmail.com, School 1: none, Accomplishments 1: N/A, Date of Attendance 1: N/A - N/A, Year Graduated 1: N/A, School 2: Guinobatan West Central School, Accomplishments 2: none, Date of Attendance 2: 06/01/2011 - 03/15/2017, Year Graduated 2: 2017, Grade Level: 10, Specialization: SPA
LRN: 11172710010, Name: oiwhfowifhwoifhweoiwhfeowihe, Birthdate: 06/30/2005, Age: 19, Place of Birth: Legazpi City, Current Address: Purok 2 Maguiron Guinobatan Albay, Permanent Address: Purok 2 Maguiron Guinobatan Albay, Sex: M, Citizenship: Filipino, Religion: Roman Catholic, Height: 160.0, Weight: 57.0, Blood Type: A+, Contact Number: 09770375772, Email: cholocandelaria123@gmail.com, School 1: none, Accomplishments 1: N/A, Date of Attendance 1: N/A - N/A, Year Graduated 1: N/A, School 2: Guinobatan West Central School, Accomplishments 2: none, Date of Attendance 2: 06/01/2011 - 03/15/2017, Year Graduated 2: 2017, Grade Level: 10, Specialization: SPA
LRN: 11172710011, Name: oiwhfowifhwoifhweoiwhfeowihe, Birthdate: 06/30/2005, Age: 19, Place of Birth: Legazpi City, Current Address: Purok 2 Maguiron Guinobatan Albay, Permanent Address: Purok 2 Maguiron Guinobatan Albay, Sex: M, Citizenship: Filipino, Religion: Roman Catholic, Height: 160.0, Weight: 57.0, Blood Type: A+, Contact Number: 09770375772, Email: cholocandelaria123@gmail.com, School 1: none, Accomplishments 1: N/A, Date of Attendance 1: N/A - N/A, Year Graduated 1: N/A, School 2: Guinobatan West Central School, Accomplishments 2: none, Date of Attendance 2: 06/01/2011 - 03/15/2017, Year Graduated 2: 2017, Grade Level: 10, Specialization: SPA
LRN: 11172710012, Name: oiwhfowifhwoifhweoiwhfeowihe, Birthdate: 06/30/2005, Age: 19, Place of Birth: Legazpi City, Current Address: Purok 2 Maguiron Guinobatan Albay, Permanent Address: Purok 2 Maguiron Guinobatan Albay, Sex: M, Citizenship: Filipino, Religion: Roman Catholic, Height: 160.0, Weight: 57.0, Blood Type: A+, Contact Number: 09770375772, Email: cholocandelaria123@gmail.com, School 1: none, Accomplishments 1: N/A, Date of Attendance 1: N/A - N/A, Year Graduated 1: N/A, School 2: Guinobatan West Central School, Accomplishments 2: none, Date of Attendance 2: 06/01/2011 - 03/15/2017, Year Graduated 2: 2017, Grade Level: 10, Specialization: SPA
LRN: 11172710013, Name: oiwhfowifhwoifhweoiwhfeowihe, Birthdate: 06/30/2005, Age: 19, Place of Birth: Legazpi City, Current Address: Purok 2 Maguiron Guinobatan Albay, Permanent Address: Purok 2 Maguiron Guinobatan Albay, Sex: M, Citizenship: Filipino, Religion: Roman Catholic, Height: 160.0, Weight: 57.0, Blood Type: A+, Contact Number: 09770375772, Email: cholocandelaria123@gmail.com, School 1: none, Accomplishments 1: N/A, Date of Attendance 1: N/A - N/A, Year Graduated 1: N/A, School 2: Guinobatan West Central School, Accomplishments 2: none, Date of Attendance 2: 06/01/2011 - 03/15/2017, Year Graduated 2: 2017, Grade Level: 10, Specialization: SPA
LRN: 11172710014, Name: oiwhfowifhwoifhweoiwhfeowihe, Birthdate: 06/30/2005, Age: 19, Place of Birth: Legazpi City, Current Address: Purok 2 Maguiron Guinobatan Albay, Permanent Address: Purok 2 Maguiron Guinobatan Albay, Sex: M, Citizenship: Filipino, Religion: Roman Catholic, Height: 160.0, Weight: 57.0, Blood Type: A+, Contact Number: 09770375772, Email: cholocandelaria123@gmail.com, School 1: none, Accomplishments 1: N/A, Date of Attendance 1: N/A - N/A, Year Graduated 1: N/A, School 2: Guinobatan West Central School, Accomplishments 2: none, Date of Attendance 2: 06/01/2011 - 03/15/2017, Year Graduated 2: 2017, Grade Level: 10, Specialization: SPA
